,,,6/10,1:00,,,2:00,,,3:00,,,,9:00,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,16:00,,,17:00,,,18:00,,,19:00,,,20:00,,,21:00,,,22:00,,,23:00,,6/11,,0:00,,,1:00,,2:00,,3:00,
區域,租賃站點查詢,車柱數量,,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,,,
大安區,銘傳國小側門,7,,1,6,0,1,6,0,1,6,,-1,0,7,1,1,6,-1,0,7,5,5,2,-3,2,5,-2,0,7,1,1,6,5,6,1,0,6,1,0,6,1,-5,1,6,5,6,1,-1,5,2,-3,2,5,0,2,5,,-1,1,6,0,1,6,,,,
大安區,第二學生活動中心,27,,0,27,0,0,27,0,0,27,,1,1,26,0,1,26,-1,0,27,5,5,22,3,8,19,-2,6,21,6,12,15,-8,4,23,8,12,15,0,12,15,3,15,12,-5,10,17,-6,4,23,-2,2,25,1,3,24,,0,3,24,-1,2,25,,,,
大安區,臺灣科技大學正門,30,,0,30,0,0,30,0,0,30,,10,10,20,-1,9,21,1,10,20,3,13,17,1,14,16,-3,11,19,0,11,19,-1,10,20,-7,3,27,-1,2,28,-2,0,30,0,0,30,0,0,30,0,0,30,0,0,30,,0,0,30,0,0,30,,,,
大安區,臺灣科技大學側門,12,,0,12,0,0,12,0,0,12,,9,9,3,2,11,1,-9,2,9,2,4,8,4,8,4,-3,5,7,3,8,4,-6,2,10,-2,0,12,0,0,12,1,1,11,1,2,10,0,2,10,-2,0,12,1,1,11,,-1,0,12,0,0,12,,,,
大安區,公館公園,15,,1,14,0,1,14,-1,0,15,,7,7,8,-2,5,10,1,6,9,3,9,6,1,10,5,1,11,4,-1,10,5,-3,7,8,-4,3,12,-2,1,14,-1,0,15,1,1,14,-1,0,15,0,0,15,0,0,15,,0,0,15,0,0,15,,,,
大安區,臺灣科技大學後門,15,,5,10,0,5,10,0,5,10,,5,10,5,-1,9,6,2,11,4,-2,9,6,-6,3,12,-2,1,14,4,5,10,8,13,2,-11,2,13,-2,0,15,0,0,15,4,4,11,-1,3,12,0,3,12,0,3,12,,-1,2,13,2,4,11,,,,
大安區,臺大醫學院附設癌醫中心,20,,7,13,0,7,13,0,7,13,,-1,6,14,2,8,12,3,11,9,-5,6,14,-1,5,15,2,7,13,4,11,9,-3,8,12,-2,6,14,-3,3,17,-2,1,19,1,2,18,0,2,18,0,2,18,0,2,18,,-1,1,19,0,1,19,,,,
大安區,臺大環研大樓,15,,8,7,0,8,7,0,8,7,,-4,4,11,2,6,9,-3,3,12,1,4,11,2,6,9,0,6,9,-1,5,10,-2,3,12,-3,0,15,0,0,15,0,0,15,2,2,13,4,6,9,-2,4,11,1,5,10,,0,5,10,0,5,10,,,,
大安區,臺大永齡生醫工程館,15,,0,15,0,0,15,0,0,15,,9,9,6,0,9,6,0,9,6,-4,5,10,-2,3,12,6,9,6,3,12,3,-6,6,9,-6,0,15,0,0,15,0,0,15,1,1,14,1,2,13,-2,0,15,0,0,15,,0,0,15,0,0,15,,,,
大安區,臺大男七舍前,20,,12,8,0,12,8,1,13,7,,0,13,7,-5,8,12,-2,6,14,-6,0,20,1,1,19,0,1,19,-1,0,20,8,8,12,-8,0,20,0,0,20,0,0,20,1,1,19,1,2,18,0,2,18,0,2,18,,-2,0,20,2,2,18,,,,
大安區,臺大男一舍前,32,,14,18,1,15,17,1,16,16,,-16,0,32,0,0,32,0,0,32,1,1,31,-1,0,32,0,0,32,1,1,31,2,3,29,-2,1,31,-1,0,32,1,1,31,2,3,29,0,3,29,4,7,25,0,7,25,,4,11,21,2,13,19,,,,
大安區,臺大男六舍前,20,,14,6,1,15,5,-1,14,6,,-13,1,19,-1,0,20,0,0,20,0,0,20,0,0,20,0,0,20,4,4,16,-4,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,1,1,19,0,1,19,,1,2,18,3,5,15,,,,
大安區,臺大動物醫院前,18,,0,18,0,0,18,0,0,18,,8,8,10,-3,5,13,-4,1,17,1,2,16,2,4,14,-2,2,16,-1,1,17,1,2,16,-1,1,17,-1,0,18,0,0,18,2,2,16,-2,0,18,0,0,18,0,0,18,,0,0,18,0,0,18,,,,
大安區,臺大土木研究大樓前,11,,1,10,0,1,10,-1,0,11,,6,6,5,1,7,4,0,7,4,-1,6,5,-2,4,7,3,7,4,3,10,1,-3,7,4,2,9,2,1,10,1,-6,4,7,0,4,7,-3,1,10,0,1,10,0,1,10,,-1,0,11,0,0,11,,,,
大安區,臺大萬才館前,20,,1,19,-1,0,20,0,0,20,,5,5,15,-1,4,16,0,4,16,-1,3,17,-1,2,18,1,3,17,-2,1,19,1,2,18,12,14,6,1,15,5,-2,13,7,2,15,5,0,15,5,-6,9,11,0,9,11,,-1,8,12,0,8,12,,,,
大安區,臺大國青大樓宿舍前,20,,5,15,0,5,15,0,5,15,,-4,1,19,1,2,18,-2,0,20,2,2,18,0,2,18,0,2,18,-1,1,19,3,4,16,-4,0,20,1,1,19,-1,0,20,4,4,16,-1,3,17,2,5,15,0,5,15,,-1,4,16,3,7,13,,,,
大安區,臺大社科院圖書館前,27,,2,25,0,2,25,-1,1,26,,4,5,22,-2,3,24,-3,0,27,2,2,25,1,3,24,11,14,13,-2,12,15,-12,0,27,1,1,26,11,12,15,-11,1,26,10,11,16,-8,3,24,9,12,15,-6,6,21,,-5,1,26,6,7,20,,,,
大安區,臺大法人語言訓練中心前,28,,0,28,0,0,28,0,0,28,,3,3,25,1,4,24,-4,0,28,0,0,28,2,2,26,4,6,22,1,7,21,-2,5,23,-5,0,28,2,2,26,-2,0,28,0,0,28,3,3,25,-3,0,28,0,0,28,,13,13,15,-2,11,17,,,,
大安區,臺大綜合體育館停車場前,25,,0,25,0,0,25,0,0,25,,2,2,23,-2,0,25,1,1,24,0,1,24,-1,0,25,4,4,21,0,4,21,-1,3,22,0,3,22,-1,2,23,1,3,22,0,3,22,1,4,21,-1,3,22,0,3,22,,-1,2,23,1,3,22,,,,
大安區,辛亥新生路口東南側,21,,6,15,0,6,15,0,6,15,,-6,0,21,0,0,21,0,0,21,0,0,21,1,1,20,-1,0,21,2,2,19,5,7,14,5,12,9,3,15,6,5,20,1,-8,12,9,-2,10,11,-4,6,15,1,7,14,,0,7,14,-1,6,15,,,,
大安區,基隆長興路口東側,15,,9,6,1,10,5,1,11,4,,-10,1,14,-1,0,15,0,0,15,0,0,15,1,1,14,0,1,14,-1,0,15,0,0,15,0,0,15,0,0,15,0,0,15,5,5,10,-4,1,14,4,5,10,2,7,8,,4,11,4,4,15,0,,,,
大安區,國北教大側門南側,28,,1,27,0,1,27,0,1,27,,5,6,22,-2,4,24,-3,1,27,-1,0,28,0,0,28,2,2,26,-2,0,28,1,1,27,-1,0,28,1,1,27,-1,0,28,1,1,27,1,2,26,-1,1,27,0,1,27,,0,1,27,1,2,26,,,,
大安區,和平實小東北側,13,,5,8,0,5,8,0,5,8,,-4,1,12,1,2,11,-1,1,12,-1,0,13,0,0,13,8,8,5,1,9,4,-1,8,5,-2,6,7,2,8,5,-1,7,6,-1,6,7,-2,4,9,1,5,8,0,5,8,,0,5,8,0,5,8,,,,
大安區,大安區健康服務中心,15,,3,12,0,3,12,0,3,12,,-1,2,13,-2,0,15,0,0,15,0,0,15,0,0,15,1,1,14,-1,0,15,1,1,14,-1,0,15,2,2,13,0,2,13,-1,1,14,0,1,14,-1,0,15,0,0,15,,0,0,15,1,1,14,,,,
